ptx,pty,docIds,idShort,title,pubDate,category,terms1,stems,firms,keywordsFound
-12.17541352,-30.8114538,1647554841_2897942,159,Architecture_remote-team-collaboration,5/5/2020,Architecture,crisis;lockdown;easier,crisi;lockdown;telework,,bim
14.21449977,-3.944045856,1647554813_7693727,160,Architecture_renewable-materials,7/6/2021,Architecture,materiality;awards;felix;paradigm;german;werner;southwestern;sobek;111;coal-fired;passport,materi;award;felix;paradigm;german;werner;southwestern;sobek;111;coal-fir;passport,white arkitekter,recycling;urbanism
-2.840824781,-8.434413921,1647554841_8996363,161,Architecture_restaurant-social-distancing,6/19/2020,Architecture,family;dining;restaurant;rethink;cheer;best;touchless;stuffed;restaurateurs,eat;dine;restaur;rethink;cheer;patron;touchless;stuf;restaurateur,,social
-6.831292417,-7.406471442,1647554825_0232468,162,Architecture_robotic-construction,8/2/2016,Architecture,contemporary;experimental;wolf;coop;shenzhen,contemporari;experiment;prix;himmelb;shenzhen,,
0.984371631,-12.08662087,1647554826_3135953,163,Architecture_robotic-fabrication-architecture,10/11/2016,Architecture,research;arches;zurich;swiss;fabio;loveridge;nccr;eth;kohler,research;arch;zurich;swiss;gramazio;loveridg;nccr;eth;kohler,,
-22.50840183,-23.91254123,1647554838_8999734,164,Architecture_robotics-and-architecture,11/21/2019,Architecture,physically;cameron;cutter,physic;cameron;cutter,perkins and will,
0.504909452,7.796564233,1647554831_2521808,165,Architecture_robots-in-architecture,4/25/2018,Architecture,wit;ice;softer;infant,wit;ice;softer;infant,,bim
24.36082334,-7.865695354,1647554848_0189285,166,Architecture_roche-tower,8/26/2021,Architecture,complete;tower;model;prove;virtual;ed2;groundbreaking;various;blueprints;tablets;clearly;switzerland’s;shell;convince;tallest;roche;basel;herzog;meuron;keller;beat;passport;sibling;jörg,complet;tower;model;prove;virtual;respons;groundbreak;variou;blueprint;tablet;clearli;switzerland;shell;convinc;tallest;roch;basel;herzog;meuron;keller;beat;passport;sibl;jörg,,bim
-5.131420138,21.00434397,1647554867_9147468,167,Architecture_rooftop-architecture,1/25/2022,Architecture,roof;walk;salesforce;rooftop;baptist;oasis;disguise;around;guardrail,roof;walk;salesforc;rooftop;baptist;oasi;disguis;paver;guardrail,steinberg hart,environmental;solar;wind
26.07409022,17.67066962,1647554851_7749672,168,Architecture_rural-studio-builds-sustainable-homes-for-20k,3/4/2015,Architecture,studio;house;000;ceiling;spans;dave;girders;donor;cross-ventilation;shotgun;joists,studio;hous;000;ceil;span;dave;girder;donor;cross-ventil;shotgun;joist,,
-24.05047612,-9.182011913,1647554828_4601364,169,Architecture_san-ysidro-border-crossing,6/14/2017,Architecture,renovation;cross;travelers;miller;inspections;they’ll;borders;tests;welcome;gateway;hull;northbound;etfe,renov;cross;travel;miller;inspect;canopi;border;magnusson;welcom;gateway;hull;northbound;etf,,solar;net zero
10.82596529,-14.29698983,1647554821_0394082,170,Architecture_self-assembling-structures,3/2/2016,Architecture,erupting;pets;authorship;aadrl;volcano,erupt;pet;authorship;aadrl;volcano,,social
